chest size,height,waist,head,foot length,weight
96.3,185.5,82.5,57.1,28.5,73.2
101.9,167.2,81.2,55,24.2,65.1
99.5,179.9,99.2,56.3,28.1,93.2
98.6,171.4,85.9,54.5,27.4,71.6
94.7,176.9,78.3,58.5,26.5,67.1
122.3,180.5,118.4,61.5,29,114.2
98,180.4,93.6,59.9,27.1,76.5
89.6,173.9,71.1,53.9,26.8,53
93.8,178.7,82.9,57.7,28.6,69.7
122.3,180.5,118.4,61.5,29,114.2
115.4,173.1,112.6,59.1,27.7,95.3
98,178.5,95.4,57.1,27.2,78.7
83.1,172.6,75.7,57.9,26.2,58.6
94.7,170.7,81.7,56.4,26.2,66.7
97.1,175,87.3,56.4,27.4,77.8
98.8,175.8,89.6,58.5,26.2,77.8
95.9,182.9,85.8,58.4,29.2,80.4
87.6,169.3,75.4,55.7,25.3,54.6
93.1,177.4,79.7,59.9,27.5,69
94.4,168.3,72.2,60,23.8,59.1
86.4,173.4,81.7,56.3,27.3,63.8
104.1,173.2,91.4,56.7,26,74.6
106.4,180.1,97.3,57.8,27.6,90.4
92,172.4,86.6,57.3,26.3,67.8
112.1,186.8,105.2,62,27.7,103.3
94.5,175.6,84.2,58.9,26.5,68.1
104.6,176.3,89.3,59.6,27,80.6
102.3,180.7,81.6,59.9,27.9,69
94.3,175.3,76.3,58.1,27.8,59.2
89.1,177.7,69.5,57.3,26.3,55.5
89.5,171.7,80.8,56.9,27.9,65.1
103,178.9,93.6,59.4,26.7,78
90.2,184.1,86.3,60.3,28,75
95.3,173.9,81.2,55.9,24.6,66.7
98.9,185.1,96.3,61.9,29.9,83.2
92.3,172.2,86.2,57.3,27.4,70.1
91.9,179.3,84.3,56.1,26.9,69.8
93.1,179.3,84.7,57.7,27.6,65.2
95.8,176.8,88.6,56.9,27,75.3
92.6,178.5,81.1,56.3,27,68.8
93.8,178.7,82.9,57.7,28.6,69.7
88,178.1,82.1,56.3,28.1,66.1
110.7,169.2,95.6,62.2,29.7,75.8
98.5,168.6,85.9,59.8,25.5,66.5
88.9,179.9,80.8,55.7,26.5,65.1
107.6,179.1,95,57.6,27.7,88.4
88.5,178.9,112.6,56.1,26.1,58.8
